8 47 57.15 24.1 63.15 21
9 54.5 73.75 46.7 83.2 38.3
10 105 114 95.85 117.5 74.35
11 64.2 65.2 62.4 72.25 59.15
12 34.5 34.95 33.6 40.9 33.2
13 19 19.4 18.05 19.9 17.1
14 9.81 10.1 9.525 10.55 9.35
15 6.93 7.11 6.765 7.625 6.665
16 3.16 3.315 3.125 3.38 3
17 1.74 1.805 1.69 1.815 1.665
18 1.06 1.085 1.055 1.14 1.04
19 0.385 0.4075 0.3815 0.422 0.3795
20 0.233 0.235 0.231 0.247 0.23
